time	X	lat	lon	speed	angle	alt	satellites	pm_raw	pm_filt	voc
2015-08-05	21:20:00	33.963	-83.3892	10.57	286.16	255.8	8	0.0209	0.0247	112.41
2015-08-05	21:20:04	33.963	-83.3894	12.03	286.63	255.8	8	0	0.0223	112.41
2015-08-05	21:20:08	33.9631	-83.3896	9.49	288.1	255.8	8	0.0209	0.0221	112.41
2015-08-05	21:20:11	33.9632	-83.3898	11.18	289.95	255.8	8	0.0189	0.0218	122.19
2015-08-05	21:20:12	33.9632	-83.3899	12.61	284.07	255.8	8	0.0461	0.0242	127.08
2015-08-05	21:20:16	33.9632	-83.3902	13.24	284.88	255.8	8	0.0053	0.0223	122.19
2015-08-05	21:20:19	33.9633	-83.3904	14.49	279.55	255.8	8	0.0113	0.0212	122.19
2015-08-05	21:20:23	33.9634	-83.3907	12.87	279.02	255.8	8	0.019	0.021	122.19
2015-08-05	21:20:24	33.9634	-83.3908	7.55	281.56	255.8	8	0.0247	0.0214	127.08
2015-08-05	21:20:28	33.9636	-83.3909	8.71	8.82	255.8	8	0.028	0.022	127.08
2015-08-05	21:20:32	33.9637	-83.3908	11.14	2.7	255.8	8	0.0234	0.0222	127.08
2015-08-05	21:20:35	33.9639	-83.3908	12.06	6.31	255.8	8	0.0079	0.0207	131.96
2015-08-05	21:20:38	33.964	-83.3908	12.84	8.29	255.8	8	0.0097	0.0196	131.96
2015-08-05	21:20:42	33.9643	-83.3907	13.46	13.34	258.2	8	0.0312	0.0208	127.08
2015-08-05	21:20:44	33.9645	-83.3907	14.64	5.57	258.2	8	0	0.0187	127.08
2015-08-05	21:20:47	33.9646	-83.3907	14.83	9.07	258.2	8	0.0209	0.0189	127.08
2015-08-05	21:20:50	33.9648	-83.3906	14.61	8.56	258.2	8	0	0.017	127.08
2015-08-05	21:20:52	33.965	-83.3906	15.67	2.15	251.4	9	0.034	0.0187	127.08
2015-08-05	21:20:55	33.9652	-83.3906	15.8	10.28	251.4	9	0	0.0169	127.08
2015-08-05	21:20:58	33.9654	-83.3905	14.45	12.14	246.8	8	0.0301	0.0182	127.08
2015-08-05	21:21:00	33.9655	-83.3905	12.72	11.53	246.8	8	0.0042	0.0168	127.08
2015-08-05	21:21:03	33.9656	-83.3905	5.31	9.28	246.8	8	0	0.0151	122.19
2015-08-05	21:21:06	33.9657	-83.3905	6.54	325.77	246.8	8	0.0426	0.0179	112.41
2015-08-05	21:21:08	33.9657	-83.3907	12.52	277.91	246.8	8	0.0589	0.022	102.64
2015-08-05	21:21:12	33.9658	-83.3909	17.18	276.71	246.8	8	0.0401	0.0238	112.41
2015-08-05	21:21:14	33.9658	-83.3911	15.89	278.19	246.8	8	0.0641	0.0278	112.41
2015-08-05	21:21:16	33.9658	-83.3914	12.84	299.95	246.8	8	0.0231	0.0273	117.3
2015-08-05	21:21:20	33.9661	-83.3914	13.21	6.72	246.8	8	0.0161	0.0262	122.19
2015-08-05	21:21:24	33.9663	-83.3913	13.61	5.23	246.8	8	0	0.0236	127.08
2015-08-05	21:21:26	33.9664	-83.3913	13.11	6.37	238.3	9	0.0437	0.0256	127.08
2015-08-05	21:21:30	33.9667	-83.3913	13.54	5.62	234.7	8	0.0261	0.0257	127.08
2015-08-05	21:21:32	33.9668	-83.3913	9.77	7.47	232.3	9	0.0314	0.0262	127.08
2015-08-05	21:21:35	33.9669	-83.3912	6.61	20.02	232.3	9	0.0036	0.024	127.08
2015-08-05	21:21:38	33.967	-83.3912	4.76	3.55	232.3	9	0	0.0216	127.08
2015-08-05	21:21:40	33.9671	-83.3913	7.73	309.24	232.3	9	0	0.0194	122.19
2015-08-05	21:21:43	33.9671	-83.3914	8.87	287.62	232.3	9	0.0094	0.0184	122.19
2015-08-05	21:21:46	33.9671	-83.3915	9.26	276.26	232.3	9	0.0307	0.0196	117.3
2015-08-05	21:21:50	33.9671	-83.3917	9.46	274.5	231.5	9	0.0725	0.0249	117.3
2015-08-05	21:21:52	33.9671	-83.3918	9.29	278.69	231.5	9	0.0325	0.0257	117.3
2015-08-05	21:21:54	33.9672	-83.3919	9.4	278.08	231.5	9	0.0543	0.0286	112.41
2015-08-05	21:21:58	33.9672	-83.3921	7.8	279.59	235.5	9	0.0438	0.0301	117.3
2015-08-05	21:22:00	33.9672	-83.3922	7.7	271.69	235.5	9	0.0192	0.029	112.41
2015-08-05	21:22:04	33.9672	-83.3923	6.93	286.6	235.5	9	0.109	0.037	122.19
2015-08-05	21:22:07	33.9672	-83.3925	6.68	285.88	235.5	9	0.065	0.0398	122.19
2015-08-05	21:22:08	33.9672	-83.3925	5.32	286.42	235.5	9	0.0061	0.0364	122.19
2015-08-05	21:22:12	33.9672	-83.3926	2.54	275.39	235.5	9	0.0135	0.0341	127.08
2015-08-05	21:22:16	33.9672	-83.3926	0.32	275.39	235.5	9	0.0461	0.0353	127.08
2015-08-05	21:22:19	33.9673	-83.3927	8.72	279.59	234.8	9	0.0219	0.034	117.3
2015-08-05	21:22:20	33.9673	-83.3929	11.03	272.75	234.8	9	0.0114	0.0317	117.3
2015-08-05	21:22:24	33.9673	-83.3931	10.32	267.74	234.8	9	0.0409	0.0326	117.3
2015-08-05	21:22:27	33.9673	-83.3932	9.84	276.67	234.8	9	0	0.0294	122.19
2015-08-05	21:22:28	33.9673	-83.3934	9.43	281.37	234.7	9	0.0602	0.0325	117.3
2015-08-05	21:22:32	33.9673	-83.3935	9.85	272.57	234.7	9	0	0.0292	117.3
2015-08-05	21:22:35	33.9673	-83.3937	8.98	278.33	234.7	9	0.012	0.0275	112.41
2015-08-05	21:22:38	33.9673	-83.3938	9.67	277.45	236.3	9	0.0111	0.0259	117.3
2015-08-05	21:22:40	33.9673	-83.394	9.06	274.09	236.3	9	0.0172	0.025	122.19
2015-08-05	21:22:43	33.9674	-83.3941	8.89	278.18	236.3	9	0	0.0225	127.08
2015-08-05	21:22:46	33.9674	-83.3943	8.84	275.07	236.3	9	0.016	0.0218	127.08
2015-08-05	21:22:48	33.9674	-83.3944	9.63	271.42	236.3	9	0.0341	0.0231	127.08
2015-08-05	21:22:51	33.9674	-83.3945	9.81	280.78	236.3	9	0.0052	0.0213	127.08
2015-08-05	21:22:54	33.9674	-83.3947	10.42	275	236.3	9	0.0104	0.0202	127.08
2015-08-05	21:22:56	33.9674	-83.3949	10.26	277.65	236.3	9	0	0.0182	127.08
2015-08-05	21:23:00	33.9675	-83.3951	10.83	275.73	236.3	9	0.0018	0.0165	127.08
2015-08-05	21:23:03	33.9675	-83.3953	10.16	281.41	236.3	9	0	0.0149	127.08
2015-08-05	21:23:06	33.9675	-83.3954	11	271.17	236.3	9	0	0.0134	127.08
2015-08-05	21:23:08	33.9675	-83.3956	11.32	272.1	236.3	9	0.002	0.0123	127.08
2015-08-05	21:23:11	33.9675	-83.3957	11.04	276.48	236.3	9	0.0263	0.0137	122.19
2015-08-05	21:23:14	33.9675	-83.3959	11.13	272.88	236.3	9	0	0.0123	122.19
2015-08-05	21:23:16	33.9676	-83.3961	11.89	274.77	236.3	9	0	0.0111	122.19
2015-08-05	21:23:20	33.9676	-83.3963	12.45	273.74	236.3	9	0.0141	0.0114	117.3
2015-08-05	21:23:23	33.9676	-83.3965	11.95	275.21	236.3	9	0.0033	0.0106	117.3
2015-08-05	21:23:26	33.9676	-83.3966	5.52	265.04	236.3	9	0.014	0.0109	122.19
2015-08-05	21:23:28	33.9676	-83.3967	6.32	199.43	236.3	9	0	0.0098	117.3
2015-08-05	21:23:31	33.9675	-83.3967	7.58	191.05	236.3	9	0.031	0.0119	122.19
2015-08-05	21:23:34	33.9674	-83.3967	7.73	185.41	236.3	9	0.0753	0.0183	122.19
2015-08-05	21:23:36	33.9673	-83.3968	8.46	187.49	236.3	9	0.0455	0.021	117.3
2015-08-05	21:23:40	33.9671	-83.3968	8.36	184.98	236.3	9	0.0189	0.0208	117.3
2015-08-05	21:23:43	33.967	-83.3968	9.42	188.08	236.3	9	0	0.0187	117.3
2015-08-05	21:23:44	33.9669	-83.3968	11.31	186.29	223	9	0.0498	0.0218	122.19
2015-08-05	21:23:48	33.9668	-83.3968	11.06	185.3	223	9	0.0404	0.0237	122.19
2015-08-05	21:23:51	33.9666	-83.3968	9.86	186.87	223	9	0.0358	0.0249	122.19
2015-08-05	21:23:52	33.9665	-83.3969	8.96	186.62	223	9	0.0029	0.0227	122.19
2015-08-05	21:23:56	33.9664	-83.3969	3.58	180.16	223	9	0.0531	0.0257	122.19
2015-08-05	21:23:58	33.9664	-83.3969	6.85	184.23	223	9	0.0819	0.0313	117.3
2015-08-05	21:24:00	33.9663	-83.3969	9.3	186.22	223	9	0.0078	0.029	122.19
2015-08-05	21:24:03	33.9662	-83.3969	10.34	177.28	223	9	0.0166	0.0277	122.19
2015-08-05	21:24:06	33.966	-83.3969	11.63	184.03	223	9	0.0187	0.0268	122.19
2015-08-05	21:24:08	33.9659	-83.3969	11.17	186.22	223	9	0.0917	0.0333	117.3
2015-08-05	21:24:11	33.9658	-83.3969	11.9	183.29	223	9	0.0117	0.0312	117.3
2015-08-05	21:24:14	33.9656	-83.397	12.44	188.07	223	9	0.0079	0.0288	117.3
2015-08-05	21:24:16	33.9654	-83.397	12.46	189.94	223	9	0.0195	0.0279	122.19
2015-08-05	21:24:20	33.9652	-83.397	12.74	186.62	223	9	0	0.0251	122.19
2015-08-05	21:24:22	33.9651	-83.397	13	185.28	223	9	0.016	0.0242	122.19
2015-08-05	21:24:24	33.965	-83.3971	11.1	188.18	223	9	0.0248	0.0243	122.19
2015-08-05	21:24:27	33.9649	-83.3971	10.49	189.68	223	9	0.0676	0.0286	127.08
2015-08-05	21:24:30	33.9647	-83.3971	9.48	184.61	223	9	0.0161	0.0274	127.08
2015-08-05	21:24:32	33.9646	-83.3971	8.67	185.75	214.7	8	0.0212	0.0267	122.19
2015-08-05	21:24:36	33.9645	-83.3971	8.64	182.01	214.7	8	0.0162	0.0257	127.08
2015-08-05	21:24:39	33.9644	-83.3971	6.63	190.06	214.7	8	0	0.0231	127.08
2015-08-05	21:24:42	33.9643	-83.3971	4.57	128.55	214.7	8	0.0301	0.0238	122.19
2015-08-05	21:24:44	33.9643	-83.3971	1.76	128.55	214.7	8	0.0039	0.0218	122.19
2015-08-05	21:24:46	33.9643	-83.3971	5.08	354.17	214.7	8	0.0096	0.0206	127.08
2015-08-05	21:24:48	33.9644	-83.3971	8.41	4.43	214.7	8	0.017	0.0202	127.08
2015-08-05	21:24:52	33.9645	-83.3971	8.59	359.39	214.7	8	0.0228	0.0205	127.08
